County,Cumulative Deaths by End of Month,New Deaths During Month,Cumulative Confirmed Cases by End of Month,New Confirmed Cases During Month,Month,Year,Latitude,Longitude,Median Income,Income per Capita,Number of Poeple in Poverty,Median Age,Total Population,Total White Population,Total Black Population,Total American Indian Population,Total Asian Poulation,Total Population Identifying as 2+ Races,Total Hispanic Population,Total Pop Using Public Transit,Land Area (mi^2),Population Density (persons/mi^2),New Cases/ 100k People,New Deaths/ 100k People
Santa Barbara,297,136,29737,11747,Jan,2021,34.65,-120.02,78925.0,38141.0,54621.0,33.8,444895.0,319547.0,8474.0,4941.0,24678.0,43286.0,203207.0,6141.0,2735,162.6672760511883,2640.3982962272,30.56901066543791
Santa Clara,1343,678,102935,32597,Jan,2021,37.23,-121.7,130890.0,59297.0,135771.0,37.2,1924379.0,801381.0,47379.0,9990.0,724855.0,143857.0,482101.0,39110.0,1290,1491.7666666666667,1693.8970961541359,35.23214501925037
Santa Cruz,149,65,14222,4940,Jan,2021,37.06,-122.01,89986.0,44278.0,31120.0,38.2,273170.0,195781.0,3472.0,1708.0,13563.0,19184.0,91876.0,2971.0,445,613.8651685393259,1808.3977010652704,23.79470659296409
Shasta,112,43,11425,2675,Jan,2021,40.76,-122.04,57139.0,31049.0,26504.0,41.7,179267.0,152586.0,1912.0,4420.0,5772.0,10371.0,18566.0,410.0,3775,47.48794701986755,1492.1876307407388,23.986567522187574
Sierra,0,0,54,22,Jan,2021,39.58,-120.52,52103.0,32533.0,271.0,54.0,2898.0,2722.0,3.0,69.0,0.0,16.0,293.0,4.0,953,3.0409233997901364,759.144237405107,0.0
Siskiyou,4,1,1432,375,Jan,2021,41.59,-122.54,47403.0,29381.0,7294.0,47.7,43516.0,36195.0,668.0,1686.0,547.0,3434.0,5605.0,36.0,6278,6.931506849315069,861.7519992646382,2.298005331372369
Solano,117,20,28143,9013,Jan,2021,38.27,-121.94,84638.0,36685.0,39388.0,38.3,444538.0,225258.0,60991.0,2531.0,69169.0,41339.0,119294.0,5671.0,822,540.8004866180048,2027.4982116264525,4.499052949354161
Sonoma,243,55,26152,6913,Jan,2021,38.53,-122.89,86173.0,44071.0,43086.0,42.4,496801.0,360200.0,8266.0,4441.0,21239.0,34952.0,134024.0,3926.0,1576,315.2290609137056,1391.502835139221,11.07083117787605
Stanislaus,805,169,51038,13194,Jan,2021,37.56,-121,62873.0,27225.0,73072.0,34.3,546235.0,384703.0,16961.0,4738.0,32003.0,47592.0,256424.0,1692.0,1495,365.3745819397993,2415.4439023497216,30.939064688275195
Sutter,89,38,8389,1910,Jan,2021,39.03,-121.69,63502.0,29495.0,12460.0,35.8,96315.0,61307.0,1894.0,1061.0,15997.0,9518.0,30101.0,404.0,602,159.99169435215947,1983.0763640139128,39.45387530498884
Tehama,21,12,4723,1370,Jan,2021,40.13,-122.24,48895.0,29012.0,11922.0,40.6,64176.0,53987.0,420.0,865.0,1090.0,4452.0,16435.0,89.0,2950,21.75457627118644,2134.7544253303417,18.69857890800299
Trinity,3,1,323,24,Jan,2021,40.65,-123.11,41780.0,26228.0,2860.0,52.4,12541.0,10694.0,65.0,722.0,244.0,332.0,933.0,61.0,3179,3.9449512425290973,191.37229885974006,7.973845785822502
Tulare,618,172,51394,13995,Jan,2021,36.22,-118.8,52534.0,22092.0,99610.0,31.2,463955.0,309798.0,7606.0,5955.0,17310.0,37160.0,301919.0,1120.0,4824,96.1764096185738,3016.456337360304,37.07256091646819
Tuolumne,39,27,3568,648,Jan,2021,38.03,-119.95,60509.0,35694.0,5564.0,48.7,54147.0,46905.0,1007.0,948.0,753.0,2789.0,6810.0,91.0,2221,24.379558757316524,1196.7422017840322,49.86425840766801
Ventura,502,251,73647,31058,Jan,2021,34.44,-119.09,89295.0,39403.0,74449.0,38.5,845599.0,637686.0,15422.0,6990.0,61239.0,71894.0,361648.0,3998.0,1843,458.8166033640803,3672.8993293511467,29.683100382096004
Yolo,151,34,11959,3596,Jan,2021,38.68,-121.9,73746.0,36036.0,39197.0,31.1,218774.0,145299.0,5694.0,1420.0,31584.0,21326.0,69341.0,4097.0,1015,215.54088669950738,1643.705376324426,15.541152056460092
Yuba,33,15,5157,1320,Jan,2021,39.26,-121.35,59424.0,25774.0,11420.0,33.0,77524.0,56990.0,2632.0,1030.0,5631.0,7561.0,22318.0,175.0,632,122.66455696202532,1702.6985191682575,19.3488468087302
Alameda,1105,248,82506,6962,Feb,2021,37.65,-121.89,104888.0,49883.0,152060.0,37.8,1661584.0,631037.0,171922.0,11037.0,519249.0,130496.0,369546.0,114029.0,739,2248.4221921515564,418.9977756165202,14.925516856204682
Alpine,0,0,82,8,Feb,2021,38.6,-119.82,85750.0,37690.0,139.0,47.6,1159.0,663.0,10.0,360.0,6.0,111.0,183.0,4.0,738,1.570460704607046,690.2502157031925,0.0
Amador,42,10,3499,262,Feb,2021,38.45,-120.66,65187.0,33897.0,2872.0,49.9,39023.0,33040.0,931.0,276.0,375.0,2834.0,5591.0,35.0,595,65.58487394957983,671.3989185864747,25.625912923147887
Butte,180,40,12615,884,Feb,2021,39.67,-121.6,54972.0,30700.0,39676.0,36.9,223344.0,178568.0,3866.0,2628.0,10743.0,15608.0,37585.0,1010.0,1636,136.51833740831296,395.8019915466724,17.909592377677484
Calaveras,46,25,1896,107,Feb,2021,38.21,-120.55,67054.0,33027.0,5177.0,52.8,45828.0,40058.0,450.0,518.0,864.0,2912.0,5710.0,142.0,1020,44.92941176470588,233.48171423583835,54.551802391551014
Colusa,11,2,2135,172,Feb,2021,39.18,-122.23,59427.0,27614.0,2540.0,35.4,21491.0,17012.0,330.0,239.0,201.0,2308.0,12840.0,13.0,1151,18.671589921807126,800.3350239635197,9.306221208878135
Contra Costa,694,163,63521,5468,Feb,2021,37.92,-121.93,103997.0,50118.0,93021.0,39.9,1147788.0,608789.0,98569.0,5191.0,200159.0,104757.0,295791.0,56093.0,723,1587.5352697095436,476.3945955176391,14.201228798349522
Del Norte,5,3,987,118,Feb,2021,41.74,-123.9,49981.0,24361.0,4223.0,40.0,27692.0,20002.0,747.0,1943.0,880.0,2160.0,5552.0,31.0,1006,27.526838966202785,426.1158457316192,10.833453705041167
El Dorado,98,15,9691,804,Feb,2021,38.78,-120.52,83710.0,44651.0,16018.0,46.3,190345.0,164552.0,1586.0,1312.0,9111.0,8659.0,24773.0,926.0,1708,111.44320843091334,422.39092174735345,7.880427644540177
Fresno,1405,411,103364,7555,Feb,2021,36.76,-119.65,57109.0,25757.0,202296.0,32.4,990204.0,597574.0,46182.0,11604.0,105302.0,84357.0,528293.0,3740.0,5959,166.16949152542372,762.9740942270481,41.50659864028018
Glenn,15,1,2724,197,Feb,2021,39.6,-122.39,51682.0,23715.0,4201.0,35.9,28060.0,22478.0,218.0,631.0,877.0,886.0,11828.0,24.0,1314,21.354642313546425,702.0669992872416,3.5637918745545263
Humboldt,30,5,3200,416,Feb,2021,40.7,-123.88,49235.0,29584.0,26210.0,38.9,136101.0,107151.0,1558.0,6162.0,3948.0,10757.0,16228.0,996.0,3568,38.14489910313901,305.65535888788474,3.6737422943255376
Imperial,636,106,29359,807,Feb,2021,33.04,-115.37,46222.0,18064.0,38408.0,32.5,180580.0,102305.0,4716.0,2111.0,2599.0,19433.0,152880.0,435.0,4177,43.23198467799856,446.8933436703954,58.6997452652564
Inyo,35,8,1294,214,Feb,2021,36.51,-117.41,59296.0,33404.0,1745.0,45.3,17930.0,13705.0,96.0,1924.0,279.0,1398.0,4115.0,60.0,10181,1.761123661722817,1193.5303959843839,44.61795872838818
